SA2_2023_V1_00_Origin_CODE,SA2_2023_V1_00_Origin_NAME,SA2_2023_V1_00_Destination_CODE,SA2_2023_V1_00_Destination_NAME,work_2018_Work_at_home,work_2018_Drive_a_private_car_truck_or_van,work_2018_Drive_a_company_car_truck_or_van,work_2018_Passenger_in_a_car_truck_van_or_company_bus,work_2018_Public_bus,work_2018_Train,work_2018_Bicycle,work_2018_Walk_or_jog,work_2018_Ferry,work_2018_Other,work_2018_Total_stated,work_2023_Work_at_home,work_2023_Drive_a_private_car_truck_or_van,work_2023_Drive_a_company_car_truck_or_van,work_2023_Passenger_in_a_car_truck_van_or_company_bus,work_2023_Public_bus,work_2023_Train,work_2023_Bicycle,work_2023_Walk_or_jog,work_2023_Ferry,work_2023_Other,work_2023_Total_stated
101700,Kohukohu-Broadwood,100800,Kaitaia West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101700,Kohukohu-Broadwood,101700,Kohukohu-Broadwood,84,15,0,0,0,0,0,0,0,0,108,96,30,0,0,0,0,0,6,0,0,135
101700,Kohukohu-Broadwood,102000,Omahuta Forest-Horeke,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
101700,Kohukohu-Broadwood,102100,Hokianga South,0,9,6,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,0,0,0,9
101700,Kohukohu-Broadwood,103501,Kaikohe,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101801,Whakarara,100700,Kaitaia East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101801,Whakarara,101101,Doubtless Bay,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101801,Whakarara,101500,Whakapaku,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
101801,Whakarara,101801,Whakarara,150,63,0,0,0,0,0,6,0,0,225,159,66,6,0,0,0,0,0,0,0,240
101801,Whakarara,101900,Kaeo,0,18,0,0,0,0,0,0,0,0,21,0,30,0,0,0,0,0,0,0,0,36
101801,Whakarara,102201,Lake Manuwai-Kapiro,0,15,0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,0,0,0,15
101801,Whakarara,102501,Waipapa,0,6,0,0,0,0,0,0,0,0,12,0,21,0,0,0,0,0,0,0,0,24
101801,Whakarara,102600,Puketotara,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
101801,Whakarara,102801,Riverview,0,6,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,12
101801,Whakarara,103000,Kerikeri Central,0,36,0,0,0,0,0,0,0,0,42,0,39,6,0,0,0,0,0,0,0,51
101801,Whakarara,103101,Kerikeri South,0,9,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,15
101801,Whakarara,103301,Puketona-Waitangi,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
101801,Whakarara,103501,Kaikohe,0,12,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
101801,Whakarara,107100,Whangarei Central,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12
101801,Whakarara,107901,Port-Limeburners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101900,Kaeo,101101,Doubtless Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101900,Kaeo,101500,Whakapaku,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
101900,Kaeo,101801,Whakarara,0,12,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,21
101900,Kaeo,101900,Kaeo,111,66,9,9,0,0,0,0,0,0,204,141,54,6,0,0,0,0,0,0,0,204
101900,Kaeo,102201,Lake Manuwai-Kapiro,0,9,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,12
